station_id,station_name,region,prefecture
nagisastation,エフエムなぎさステーション,東海,静岡県
ciao,Ciao!,東海,静岡県
fmizunokuni,FMいずのくに,東海,静岡県
fmyaizu,RADIO LUSH,東海,静岡県
fmnanami,エフエム ななみ,東海,愛知県
unitednorth,United North,東海,愛知県
radiosanq,RADIO SANQ,東海,愛知県
fmichinomiya,i-wave,東海,三重県
heartfm,HeartFM,東海,三重県
inabefm,いなべエフエム,東海,三重県
suzuka,Suzuka Voice FM 78.3MHz,東海,三重県
toyamacityfm,富山シティエフエム,北陸,富山県
fmtonami,エフエムとなみ,北陸,富山県
radiotakaoka,ラジオたかおか,北陸,富山県
radiokomatsu,ラジオこまつ,北陸,石川県
radionanao,ラジオななお,北陸,石川県
radionazawa,ラジオかなざわ,北陸,石川県
fmkusatsu,えふえむ草津,近畿,滋賀県
fmikaru,ＦＭいかる,近畿,京都府
fmuji,FMうじ,近畿,京都府
fmmaizuru,FMまいづる,近畿,京都府
kyotoribingufm,FM845,近畿,京都府
fmsenri,FM千里,近畿,大阪府
umedafm,ウメダFM,近畿,大阪府
minofm,タッキー816みのおエフエム,近畿,大阪府
fmitami,エフエムいたみ,近畿,兵庫県
fmtakarazuka,ハミングFM宝塚,近畿,兵庫県
sakurafm,さくらFM,近畿,兵庫県
fmmiki,エフエムみっきぃ,近畿,兵庫県
tanba,805たんば,近畿,兵庫県
fmgenki,FM GENKI,近畿,兵庫県
narafm,ならどっとＦＭ,近畿,奈良県
fmnishiyamato,エフエムハイホー,近畿,奈良県
fmgojo,ＦＭ五條,近畿,奈良県
fmmahoroba,FMまほろば,近畿,奈良県
bananafm,バナナエフエム,近畿,和歌山県
fmtanabe,FM TANABE,近畿,和歌山県
fmhashimoto,FMはしもと,近畿,和歌山県
beachstation,FMビーチステーション,近畿,和歌山県
radiomomo,レディオ モモ,中国,山口県
fmkurashiki,FMくらしき,中国,岡山県
bingo,FMふくやま,中国,広島県
fmonomichi,FMおのみち,中国,広島県
fmchupea,FMちゅーピー,中国,広島県
fmhatsukaichi,FMはつかいち,中国,広島県
fmhigashihiroshima,FM東広島,中国,広島県
fmmihara,FOR LIFE RADIO,中国,広島県
comeonfm,ＣＯＭＥ ＯＮ ! ＦＭ,中国,広島県
shunanfm,しゅうなんＦＭ,中国,山口県
radiobird,RADIO BIRD,中国,山口県
fmsun,エフエム・サン,中国,山口県
fmradiobaribari,FMラヂオバリバリ,四国,山口県
fmgaiya,FMがいや,四国,愛媛県
niihamafm,Hello! NEW 新居浜 FM,四国,愛媛県
dreamsfm,Dreams FM,四国,愛媛県
fmyame,FM八女,九州,福岡県
fmkaratsu,ＦＭからつ,九州,佐賀県
fmyatsushiro,Kappa FM,九州,熊本県
kumamotocityfm,FM791,九州,熊本県
yufuin,ゆふいんラヂオ局,九州,熊本県
noasfm,NOASFM,九州,佐賀県
